coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
1681559,https://bisque.cyverse.org/image_service/image/00-VAMoKEEYyaC73qrqwaMcQ4/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-VAMoKEEYyaC73qrqwaMcQ4/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-VAMoKEEYyaC73qrqwaMcQ4/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-VAMoKEEYyaC73qrqwaMcQ4/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:acb45d37-7e71-44fa-8d23-f1d89307a374,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1681559,StillImage,Photograph,en
1681819,https://bisque.cyverse.org/image_service/image/00-Ujvq7uAeAM9Q5JduK3hWsC/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-Ujvq7uAeAM9Q5JduK3hWsC/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-Ujvq7uAeAM9Q5JduK3hWsC/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-Ujvq7uAeAM9Q5JduK3hWsC/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:1009a2dd-51f2-4853-b3c8-a1b6a737f829,"2019-09-30 19:05:36",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1681819,StillImage,Photograph,en
1681917,https://bisque.cyverse.org/image_service/image/00-M5nu7H2n8UcFgywGCVevL9/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-M5nu7H2n8UcFgywGCVevL9/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-M5nu7H2n8UcFgywGCVevL9/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-M5nu7H2n8UcFgywGCVevL9/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:63958e6e-a52b-4ad8-9fce-fe48c55a889c,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1681917,StillImage,Photograph,en
1681921,https://bisque.cyverse.org/image_service/image/00-XYqMwwv3dBVNUo4KQfUzYC/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-XYqMwwv3dBVNUo4KQfUzYC/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-XYqMwwv3dBVNUo4KQfUzYC/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-XYqMwwv3dBVNUo4KQfUzYC/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:a39a7483-bddd-4520-beac-cbf647cdf111,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1681921,StillImage,Photograph,en
1684401,https://bisque.cyverse.org/image_service/image/00-qoYD8xtfrmeQCLhtmpkbS4/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-qoYD8xtfrmeQCLhtmpkbS4/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-qoYD8xtfrmeQCLhtmpkbS4/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-qoYD8xtfrmeQCLhtmpkbS4/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:cdaea206-95a1-4df0-a9cf-3dc7bec49aa0,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1684401,StillImage,Photograph,en
1684445,https://bisque.cyverse.org/image_service/image/00-ayfDxLzeLfNZFQyJX5sR6b/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-ayfDxLzeLfNZFQyJX5sR6b/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-ayfDxLzeLfNZFQyJX5sR6b/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-ayfDxLzeLfNZFQyJX5sR6b/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:0b145c8b-b989-4903-bfc2-7e092d0b7873,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1684445,StillImage,Photograph,en
1684448,https://bisque.cyverse.org/image_service/image/00-sM2xVkNB5aPRBw5hwVwpHE/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-sM2xVkNB5aPRBw5hwVwpHE/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-sM2xVkNB5aPRBw5hwVwpHE/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-sM2xVkNB5aPRBw5hwVwpHE/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f875d5c0-4981-4073-8836-0dbf2eac7e9e,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1684448,StillImage,Photograph,en
1684482,https://bisque.cyverse.org/image_service/image/00-d2PzDjafkavKBZrxiWkoMD/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-d2PzDjafkavKBZrxiWkoMD/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-d2PzDjafkavKBZrxiWkoMD/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-d2PzDjafkavKBZrxiWkoMD/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:07edad68-d76f-4779-ba10-7a72e5fe27e7,"2019-09-30 19:05:35",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1684482,StillImage,Photograph,en
1686219,https://bisque.cyverse.org/image_service/image/00-B9xRWug9sozQ3VkiEiqaCW/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-B9xRWug9sozQ3VkiEiqaCW/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-B9xRWug9sozQ3VkiEiqaCW/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-B9xRWug9sozQ3VkiEiqaCW/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b956e134-271e-4bb5-9e02-e9a0c346dbb5,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1686219,StillImage,Photograph,en
1686537,https://bisque.cyverse.org/image_service/image/00-VkhysBDxjwbnkw5p4G48fe/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-VkhysBDxjwbnkw5p4G48fe/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-VkhysBDxjwbnkw5p4G48fe/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-VkhysBDxjwbnkw5p4G48fe/resize:1250/format:jpeg,,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:49f1c0dc-5c91-4c42-bb8b-af1fb1e685c9,"2019-10-28 00:42:10",image/jpeg,http://cch2.org/portal/collections/individual/index.php?occid=1686537,StillImage,Photograph,en
