id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,recordedBy,associatedCollectors,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey_dbpk,collId,recordId,references
2337503,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:2451,2451,urn:catalog:CAS:BOT:2534 | CAS 2534,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia australis,247601,Greene,Eschscholzia,australis,,,"Palmer, Edward",,1889-02-00,1889,2,0,,,Feb 1889,Accession number is a pre-1906 number.,,,,,,,,,,,,,,,,Mexico,Baja California,,,San Quentin Bay,,0,,,,,,,,,,,,,,,,,,,en,,9/22/08 15:14,urn:catalog:CAS:BOT-BC:2451,1,urn:uuid:3e66c28a-bf87-4833-9485-bd8cc2a120cb,http://cch2.org/portal/collections/individual/index.php?occid=2337503
2339263,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5932,5932,urn:catalog:CAS:BOT:2531 | CAS 2531,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia peninsularis,247642,Greene,Eschscholzia,peninsularis,,,"Orcutt, Charles Russell",,1884-07-00,1884,7,0,,,"7 mo, 3 day, 1884",Accession number is a pre-1906 number.,,,,,,,,,,,,,,,,Mexico,Baja California,,,Mountains of Lower California,,0,,,,,,,,,,,,,,,,,,,en,,6/22/09 11:18,urn:catalog:CAS:BOT-BC:5932,1,urn:uuid:97065eb6-1816-4883-9513-6e43ecbe5e4a,http://cch2.org/portal/collections/individual/index.php?occid=2339263
2345436,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5896,5896,urn:catalog:CAS:DS:42984 | DS 42984,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia elmeri,247621,Greene,Eschscholzia,elmeri,,,"Elmer, Adolph Daniel Edward",,1901-06-00,1901,6,0,,,Jun-01,,,,,,,,,,,,,,,,,United States,California,Monterey County,,Tassajara Hot Springs,,0,,,,,,,,,,,,,,,,,,,en,,6/18/09 14:36,urn:catalog:CAS:BOT-BC:5896,1,urn:uuid:f6482d1c-bef5-4837-8a94-d297fdc59df2,http://cch2.org/portal/collections/individual/index.php?occid=2345436
2346586,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5905,5905,urn:catalog:CAS:BOT:285 | CAS 285,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia helleriana,247628,Greene,Eschscholzia,helleriana,,,"Heller, Amos Arthur",,1903-07-00,1903,7,0,,,4-Jul-03,pre-1906 CAS accession #57730,,,,,,,,,,,,,,,,United States,California,Monterey County,,Pacific Grove,,0,,,,,,,,,,,,,,,,,,,en,,6/16/11 16:43,urn:catalog:CAS:BOT-BC:5905,1,urn:uuid:5ccb787c-014e-4ac6-ace2-6850ed48cc60,http://cch2.org/portal/collections/individual/index.php?occid=2346586
2350406,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5939,5939,urn:catalog:CAS:BOT:316 | CAS 316,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia rigida,247646,Greene,Eschscholzia,rigida,,,"Greene, Edward Lee",,1885-05-00,1885,5,0,,,"May 21, 1885",pre-1906 CAS accession #2583,,,,,,,,,,,,,,,,United States,California,Kern County,,Tehachapi,,0,,,,,,,,,,,,,,,,,,,en,,6/29/09 14:35,urn:catalog:CAS:BOT-BC:5939,1,urn:uuid:20fc26cf-2f7d-434a-8633-42f36585a56c,http://cch2.org/portal/collections/individual/index.php?occid=2350406
2350871,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5878,5878,urn:catalog:CAS:DS:98671 | DS 98671,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica luxurians,,Fedde,,,,,"Heller, Amos Arthur",,1903-04-00,1903,4,0,,,25-Apr-03,,sand hills,,,,,,,,,,,,,,,United States,California,San Francisco County,,"near the Marine Hospital, San Francisco",,0,,,,,,,,,,,,,,,,,,,en,,6/18/09 14:47,urn:catalog:CAS:BOT-BC:5878,1,urn:uuid:d5d9ebcc-68e8-4ed2-9bd7-c21e6c871dbc,http://cch2.org/portal/collections/individual/index.php?occid=2350871
2352888,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5907,5907,urn:catalog:CAS:DS:98748 | DS 98748,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia incisa,247630,Greene,Eschscholzia,incisa,,,"Hasse, Hermann Edward",,1890-04-00,1890,4,0,,,April 1890,"Original det. as ""Eschscholtzia Californica Cham. var. caespitosa Brewer"" - taxon not published?",,,,,,,,,,,,,,,,United States,California,Los Angeles County,,Near Soldiers Home,,0,,,,,,,,,,,,,,,,,,,en,,6/23/09 11:03,urn:catalog:CAS:BOT-BC:5907,1,urn:uuid:d39e63ac-81c3-47e7-b6a6-cc329d7c7f6f,http://cch2.org/portal/collections/individual/index.php?occid=2352888
2354330,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5890,5890,urn:catalog:CAS:BOT:690242 | CAS 690242,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia cyathifera,247615,Greene,Eschscholzia,cyathifera,,,"Brandegee, Townsend Stith",,1891-01-00,1891,1,0,,,1891,"This specimen was separated from CAS 2632 [pre-1906 CAS accession number] E. alcicornis Greene (holotype) -- M.Bourell, 1983. [Also from E. delitescens Greene, same sheet, all collected by T.S.Brandegee, 1891, Alcalde, Fresno County.]",,,,,,,,,,,,,,,,United States,California,Fresno County,,Alcalde,,0,,,,,,,,,,,,,,,,,,,en,,9/28/09 10:43,urn:catalog:CAS:BOT-BC:5890,1,urn:uuid:2d661566-5a45-454e-9af1-109d86053bc3,http://cch2.org/portal/collections/individual/index.php?occid=2354330
2354925,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5884,5884,urn:catalog:CAS:BOT:279 | CAS 279,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia cognata,247610,Greene,Eschscholzia,cognata,,,"Brandegee, Townsend Stith",,1889-04-00,1889,4,0,,,April 1889,Old CAS #2584. Original sheet had specimen of E. chartacea Fedde (isotype) mounted with it; specimens were separated.,,,,,,,,,,,,,,,,United States,California,Colusa County,,unspecified,,0,,,,,,,,,,,,,,,,,,,en,,6/18/09 15:47,urn:catalog:CAS:BOT-BC:5884,1,urn:uuid:c1e75518-8b1e-4c42-a735-1fd9823a8482,http://cch2.org/portal/collections/individual/index.php?occid=2354925
2355541,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:190753,190753,urn:catalog:CAS:DS:506576 | DS 506576,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia californica,18097,Cham.,Eschscholzia,californica,,,"Applegate, Elmer Ivan",,1936-07-00,1936,7,0,,,5-Jul-36,,,,,,,,,,,,,,,,,United States,California,Modoc County,,"Hospital Rock, Lave Beds National Monument.",,0,,,,,,,,,,,,,,,,,,,en,,7/23/12 14:59,urn:catalog:CAS:BOT-BC:190753,1,urn:uuid:f750a9b7-a159-4ca5-aa60-e82aa638967f,http://cch2.org/portal/collections/individual/index.php?occid=2355541
2366473,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5937,5937,urn:catalog:CAS:BOT:313 | CAS 313,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia recta,247645,Greene,Eschscholzia,recta,,,"Brandegee, Mary Katherine",,1889-05-00,1889,5,0,,,May 1889,pre-1906 CAS accession #2558.,,,,,,,,,,,,,,,,United States,California,Contra Costa County,,Antioch,,0,,,,,,,,,,,,,,,,,,,en,,6/29/09 14:29,urn:catalog:CAS:BOT-BC:5937,1,urn:uuid:8152b4c8-b47a-41ac-8b0c-81825268e356,http://cch2.org/portal/collections/individual/index.php?occid=2366473
2368155,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5943,5943,urn:catalog:CAS:BOT:2486 | CAS 2486,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia scariosa,247650,Greene,Eschscholzia,scariosa,,,"Eastwood, Alice",,1896-05-00,1896,5,0,,,"5 - 3, 1896",Accession number is a pre-1906 number.,,,,,,,,,,,,,,,,United States,California,,,"Carisa Plain, McDonald's. Near the boundary between Santa Barbara and San Luis Obispo Counties",,0,,,,,,,,,,,,,,,,,,,en,,6/22/09 10:56,urn:catalog:CAS:BOT-BC:5943,1,urn:uuid:66396c4c-54e9-45a1-bc6a-4fff52ca81bf,http://cch2.org/portal/collections/individual/index.php?occid=2368155
2369069,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:5923,5923,urn:catalog:CAS:BOT:300 | CAS 300,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia micrantha,247636,Greene,Eschscholzia,micrantha,,,"Curran, M. K.",,1884-01-00,1884,1,0,,,1884,pre-1906 CAS accession #17659,,,,,,,,,,,,,,,,United States,California,,,Mojave Desert,,0,,,,,,,,,,,,,,,,,,,en,,6/29/09 14:30,urn:catalog:CAS:BOT-BC:5923,1,urn:uuid:c4c2eebf-c9d1-4bf8-8f81-92810879bc86,http://cch2.org/portal/collections/individual/index.php?occid=2369069
