coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
392920,"C. Matt Guilliams",,4-25-2008,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1993)",,urn:uuid:a6dd1486-803e-488a-97e4-b3aa5a24b21a,"2019-09-27 13:58:02"
393205,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:979ae182-0aa9-416d-9eac-7bc13792a82a,"2019-09-27 13:58:02"
393205,"C. Matt Guilliams",,6-21-2008,,"Eschscholzia californica",0,Cham.,,,,,"The Jepson Manual (Hickman, ed.,1993)",,urn:uuid:efa91da7-23ef-45ff-b0fe-7967ce794433,"2019-09-27 13:58:02"
395052,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia californica subsp. mexicana",0,"(Greene) C. Clark",,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:5bd90cff-e994-4db7-8f95-8ba56491f3a9,"2019-09-26 17:24:08"
395052,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia mexicana",0,Greene,,,,,"Based on Jepson eFlora",,urn:uuid:b2a82011-b389-4b6f-83c5-6cead80aad87,"2019-09-26 17:24:09"
395053,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia californica subsp. mexicana",0,"(Greene) C. Clark",,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:2ab43460-aee6-4ddb-bed1-0fa4c68cbeb1,"2019-09-26 17:21:48"
395053,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia mexicana",0,Greene,,,,,"Based on Jepson eFlora",,urn:uuid:91d02545-4d99-4376-b8d1-7c7d486855a7,"2019-09-26 17:21:48"
395054,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia californica subsp. mexicana",1,"(Greene) C. Clark",,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:1b217d7e-f793-4067-9912-8f06324a4511,"2019-09-26 17:20:09"
395054,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia mexicana",0,Greene,,,,,"Based on Jepson eFlora",,urn:uuid:a6e1c037-84c8-42a4-9eb1-7db4cf67ff63,"2019-09-26 17:20:09"
395055,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia californica subsp. mexicana",1,"(Greene) C. Clark",,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:ff497f9c-041a-4346-b317-1bee4e2ec1b9,"2019-09-26 17:17:45"
395055,"Alice F. Hossfeld",,2019-09-26,,"Eschscholzia mexicana",0,Greene,,,,,"Based on Jepson eFlora",,urn:uuid:46ca4fd4-08c0-47ed-9bb8-650b6440d36c,"2019-09-26 17:17:45"
3654880,"Alice F. Hossfeld",,2019-09-27,,"Eschscholzia californica subsp. californica",1,Cham.,,,,,"Based on: Still. 2014.Phytokeys 35:45-56.",,urn:uuid:8bf93337-7c00-4052-bd5e-8ff1b1b8e9f8,"2019-09-27 13:55:09"
3654880,unknown,,s.d.,,"Eschscholzia californica",0,Cham.,,,,,,,urn:uuid:85856306-d0d3-483a-abdd-5193519d5804,"2019-09-27 13:55:09"
183064,"David J. Keil",,1998,,"Eschscholzia californica",1,Cham.,,,,,,,urn:uuid:c1335229-8552-4d35-9f3a-dafb4ced653c,"2019-06-28 17:07:24"
183064,"original identification",,undetermined,,"Eschscholzia caespitosa",0,,,,,,,,urn:uuid:8223519d-053b-4e68-8271-e2b29fba35ab,"2018-09-25 02:45:36"
183191,"original identification",,undetermined,,"Evax sparsiflora",0,,,,,,,,urn:uuid:2504e8ea-dbca-41ff-8449-93693e6e28a5,"2018-09-25 02:45:36"
183243,"original identification",,undetermined,,"Eschscholzia maritima",0,,,,,,,,urn:uuid:123fe059-d45e-4741-967f-ebc474271ffc,"2018-09-25 02:45:36"
620920,"Michael G. Simpson and Rebecca E. Crowe",,2019-11-20,,"Eschscholzia californica",1,Cham.,,,,,,,urn:uuid:34d07640-e727-4b48-abe1-cb11782ae760,"2019-11-20 17:44:20"
620920,unknown,,s.d.,,"Eschscholzia caespitosa",0,Benth.,,,,,,,urn:uuid:36fb8f6d-c8da-4c39-93a3-885e455282c1,"2019-11-20 17:44:20"
621079,"Michael G. Simpson and Rebecca E. Crowe",,2019-11-19,,"Eschscholzia californica",1,Cham.,,,,,,,urn:uuid:0cf9bf5f-00b8-41c5-b9fb-d82299d461b5,"2019-11-20 17:34:00"
621079,unknown,,s.d.,,"Eschscholzia caespitosa",0,Benth.,,,,,,,urn:uuid:493cc667-5486-4264-a17c-d21cf4fd7593,"2019-11-20 17:34:00"
1299202,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:4697e143-2b58-481f-9352-dae3f46d8c52,"2018-12-21 16:49:08"
1299400,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:ebe79d45-5c99-463d-8f87-e70445c0d365,"2018-12-21 16:49:08"
1299400,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:b9ef8c38-7e3d-4637-babc-a4884469abfc,"2018-12-21 16:49:08"
1299489,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:9a034afa-75a8-4804-ac4d-099ee791b79c,"2018-12-21 16:49:08"
1299489,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:b38afa3d-ef4c-4c63-aa6c-e426c1c1e647,"2018-12-21 16:49:08"
1299948,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:215040c1-7550-46bc-bf59-1ccd702ecfa8,"2018-12-21 16:49:08"
1299948,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:74d2e8db-b4c2-4974-865f-46c4890a7392,"2018-12-21 16:49:08"
1300034,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:62e5b593-22bd-4551-aa01-5e17827033b3,"2018-12-21 16:49:08"
1300034,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:fab836b0-bb16-4d59-bb6d-77697d8971df,"2018-12-21 16:49:08"
1300871,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:878317a7-1163-4070-9ee6-4c1f37babd80,"2018-12-21 16:49:08"
1300871,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:47949aaa-e2ee-4d65-a1fc-41ed3d21e025,"2018-12-21 16:49:08"
1301693,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:faef9075-50f6-47ff-8a91-5ae43c83f19d,"2018-12-21 16:49:08"
1301693,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:6acde5ba-eed1-44c1-bbe6-cf1561238393,"2018-12-21 16:49:08"
1307549,,,,,"Eschscholzia californica Cham. var. maritima Jeps.",0,,,,,,,"original determination",urn:uuid:559769f3-9fd9-4457-ac00-4d0309935615,"2018-12-21 16:49:08"
1307549,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:0ace8590-88d1-462c-96ee-50a1fc3ee192,"2018-12-21 16:49:08"
1315948,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:0f78c0e8-7871-4fb5-9305-daf0bc7dfa4e,"2018-12-21 16:49:08"
1315949,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:95a5f8f9-7aa2-4f08-985e-304084c784ff,"2018-12-21 16:49:08"
1323714,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:505441a5-2d89-4008-a5d3-3624284d0b64,"2018-12-21 16:49:08"
1332016,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:a8c388eb-29e8-4421-b8c1-b6a11e81ba34,"2018-12-21 16:49:08"
1332016,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:c0247271-1505-4bef-a27c-bc9948b74e24,"2018-12-21 16:49:08"
1332107,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:24ac12a7-01a2-4101-87a7-fdb35594fdc1,"2018-12-21 16:49:08"
1332107,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:6561b342-50d0-4d97-8458-2cb259929ee0,"2018-12-21 16:49:08"
1332247,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:45beb6cc-27dd-47f5-90a4-b920964a1df4,"2018-12-21 16:49:08"
1332293,"D. Sanchez-Mata",,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:8e7a362b-9296-42c0-a55d-31be4c452f34,"2018-12-21 16:49:08"
1332293,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:b80163e8-1898-45bc-933c-f1d6ab69eab8,"2018-12-21 16:49:08"
1333221,,,,,"Eschscholzia caespitosa Benth.",0,,,,,,,"original determination",urn:uuid:6d21227a-a2b8-4c4c-8905-17026fd1e827,"2018-12-21 16:49:08"
1333221,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:50c3d12b-811f-473a-aa64-5a48c9109158,"2018-12-21 16:49:08"
1333393,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:48f384da-6a84-4085-b11f-84d2eb697f8a,"2018-12-21 16:49:08"
1334023,,,,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:f633020e-6bad-42d2-b4d3-8f5ea862f914,"2018-12-21 16:49:08"
1334023,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:35efab93-c3e7-4160-b629-055de4d05cd6,"2018-12-21 16:49:08"
1334316,,,2/20/2009,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:5e0bd32f-dc97-4053-8f55-462a9380fe3a,"2018-12-21 16:49:08"
1334316,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:84678f7a-a20b-4a46-b0f9-0973abeb4e71,"2018-12-21 16:49:08"
1336508,,,5/1/2009,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:dc019302-c9a4-4b8c-9229-aa770a4c817e,"2018-12-21 16:49:08"
1336508,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:6d2f6128-6d78-46fd-87c8-afba0b0dfffd,"2018-12-21 16:49:08"
1338323,,,5/17/2010,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:c44b0072-5f98-4932-b7c4-49a299fac2ba,"2018-12-21 16:49:08"
1339346,,,9/19/2010,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:aede18dd-f9dd-4a99-9b1d-d50900dbe501,"2018-12-21 16:49:08"
1339346,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:8e316b74-f81b-4584-bb9d-550f40fe7681,"2018-12-21 16:49:08"
1347711,"Shannon M. Still",,May-11,,"Eschscholzia californica Cham.",0,,,,,,,,urn:uuid:38032f32-a9ae-4d38-9232-637d008d906c,"2018-12-21 16:49:08"
1347817,,,5/18/2011,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:e34b4cbd-959c-44ac-8d2c-30dfdbfe4614,"2018-12-21 16:49:08"
1347818,,,5/18/2011,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:8d4660df-4a6d-4d54-9266-97e0ca5e98bc,"2018-12-21 16:49:08"
1347827,,,5/18/2011,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:ec6516e5-b23f-4a40-93f1-835773754b17,"2018-12-21 16:49:08"
1347832,,,5/18/2011,,"Eschscholzia californica Cham.",0,,,,,,,"original determination",urn:uuid:e54b6714-4ac5-4907-b120-2ae14b09d953,"2018-12-21 16:49:08"
